recipe,ingredients
Raisin bread,"[grain,raisins,bakers' yeast]"
Ashure,"[grain,nut (fruit),fruit]"
Es teler,"[shaved ice,avocado,coconut milk,jackfruit,sweetened condensed milk]"
Esgarrat,"[black olive,salt cod,garlic,olive oil,bell peppers]"
Malewa,"[rock salt,water,salt]"
Eshabwe,"[rock salt,water,salt,ghee]"
Çiğ köfte,"[bulgur,salt,onions,tomato paste,urfa biber]"
Tabbouleh,"[bulgur,tomato sauce,parsley]"
Kısır,"[bulgur,parsley,tomato paste]"
Gamjatang,"[hot pepper,potatoes,pork,scallions,sesame oil,perilla,daikon]"
Guyanese pepperpot,"[hot pepper,pork,lamb and mutton,cinnamon,cassareep,meats]"
Kyselo,"[sourdough,mushrooms,caraway]"
Aish merahrah,"[sourdough,fenugreek,maize]"
Amish friendship bread,"[sourdough,vegetable oil,cinnamon,sugar]"
Saltah,"[fenugreek,garlic,herbs,tomato sauce,skhug]"
Curry powder,"[fenugreek,cumin,spices,chili peppers,turmeric powder]"
Muthia,"[fenugreek,gram flour,chile powder,turmeric powder]"
Rfissa,"[fenugreek,lentils,chicken,ras el hanout,msemmen]"
Talo (food),"[maize,water,salt]"
Cocoa Puffs,"[maize,rice bran oil,cocoa solids,corn syrup,canola oil,corn meal,sugar]"
Asham (dessert),"[maize,salt,sugar]"
Gachas,"[maize,lathyrus sativus,whole wheat flour]"
Corn flakes,"[maize,malt,sugar]"
Mesclun,"[endive,chervil,lettuce,chives,arugula]"
Fairy bread,"[nonpareils,sprinkles,margarine,peanut butter,white bread]"
Tanghulu,"[sprinkles,syrup,candied fruit,white chocolate]"
Yeotgangjeong,"[sesame seeds,nut (fruit),jocheong]"
Dragon's beard candy,"[sesame seeds,peanut oil,coconut milk,corn syrup,sugar]"
Tortas de aceite,"[sesame seeds,olive oil,whole wheat flour,almond meal,anise seed,sugar]"
Ginger dressing,"[sesame seeds,water,garlic,olive oil,honey,chili sauce,seasoned rice vinegar,scallions,soy sauce,corn syrup,bell peppers,ginger]"
Heong Peng,"[sesame seeds,shallots,malt]"
Farali potatoes,"[sesame seeds,potatoes,cumin,curry leaves]"
Run down,"[seasoning,fish,tomato sauce,onions,coconut milk,yam (vegetable)]"
Machher Jhol,"[seasoning,potatoes,fish,tomato sauce]"
Clam dip,"[seasoning,cream cheese,sour cream,clam]"
Fondue,"[seasoning,garlic,white wine,kirsch,cheddar cheese]"
Pozole,"[seasoning,meats,chili peppers,hominy]"
Churmuri,"[seasoning,spices,black pepper,puffed rice]"
Tangpyeongchae,"[watercress,capsicum annuum,mung bean,nokdumuk,gim (korean food)]"
İskender kebap,"[pita,tomato sauce,yogurt,domestic sheep,peanut butter]"
Tirit,"[pita,yogurt,domestic sheep]"
Fried cauliflower,"[pita,sliced bread,tahini,cauliflower,tomato sauce,lettuce,parsley]"
Sorrel soup,"[water,salt,broth,sorrel]"
Sorullos,"[water,salt,corn meal]"
Tortilla chip,"[water,salt,vegetable oil,corn tortilla]"
Tarator,"[water,garlic,tahini,vegetable oil,yogurt,walnuts,dill,sea cucumber]"
Stick candy,"[water,corn syrup,potassium bitartrate,sugar]"
Salt water taffy,"[water,salt,glycerine,food colouring,corn starch,peanut butter,corn syrup,sugar]"
Tomato omelette,"[water,tomato sauce,onions,gram flour,chili peppers,chickpea flour]"
Sorbet,"[water,honey,purée,wine,liqueur,sugar]"
Taralli,"[water,salt,olive oil,baker's yeast,black pepper,fennel,whole wheat flour]"
Saang mein,"[water,salt,tapioca flour,potassium carbonate,whole wheat flour]"
Taro ball,"[water,potatoes,sweet potato,taro]"
Farinata,"[water,olive oil,chickpea flour]"
Balep korkun,"[water,baking powder,tsampa]"
Herring soup,"[water,kipper,barley]"
Indian ice cream (Canada),"[water,sweetener,shepherdia canadensis]"
Jal-jeera,"[water,cumin,black pepper,kala namak,mentha,ginger]"
Mandarin roll,"[water,shortening,powdered milk,whole wheat flour,sugar]"
Cranberry sauce,"[water,cranberry,sugar]"
Fondant icing,"[water,glycerine,agar,gelatine,sugar]"
Goiabada,"[water,guava,sugar]"
Flatbrød,"[water,salt,barley flour]"
Flump (sweet),"[water,high fructose corn syrup,corn starch,gelatine,sugar]"
Bazlama,"[water,baker's yeast,table salt,whole wheat flour]"
Crispbread,"[water,salt,rye]"
Anmitsu,"[water,fruit juice,seaweed,red alga]"
Deep fried Oreo,"[water,batter (cooking),vegetable oil,oreo]"
Oromo (dish),"[water,salt,potatoes,dough,pumpkin,animal fat]"
Piki,"[water,blue corn,corn meal]"
Lassi,"[water,spices,yogurt,cannabinoid,heavy cream]"
Brittle (food),"[water,nut (fruit),peanut butter,sugar]"
Ajdov Kruh,"[water,buckwheat flour,potatoes]"
Krentjebrij,"[water,honey,pearl barley,ribes rubrum,berries,black currant,bilberry,sugar]"
Kosereva,"[water,molasses,orange (fruit),sugar]"
Aloo pie,"[water,potatoes,pastry]"
Ajoblanco,"[water,garlic,olive oil,brown bread,almond meal]"
Ga'at,"[water,wheat,barley]"
Baeksuk,"[water,fish,meats]"
Chikkolee,"[water,salt,whole wheat flour,tamarind,spice mix,ginger]"
Noghl,"[water,nut (fruit),almond meal,rose water,sugar]"
Ayran,"[water,salt,yogurt]"
Polenta,"[water,stock,corn meal]"
Mote con huesillo,"[water,peach,honey,cinnamon,wheat,sugar]"
Prosphora,"[water,salt,baker's yeast,whole wheat flour]"
Mi rebus,"[water,peanut oil,gravy,soy bean,curry powder,dried shrimp,noodles]"
Caldillo de congrio,"[water,garlic,potatoes,fish,black pepper,tomato sauce,onions,heavy cream,carrots,coriander]"
Cocido montañés,"[common beans,pork,collard greens]"
Cassoulet,"[common beans,pork,lamb and mutton,meats,duck,goose]"
Pasta e fagioli,"[common beans,garlic,olive oil,pasta,spices,tomato sauce,onions,tomato paste,borlotti bean,ditalini]"
Torta ahogada,"[common beans,pork,bolillo,sauces,chicken,cheddar cheese]"
Boûkète,"[buckwheat flour,raisins,lard]"
Kuchmachi,"[pomegranate juice,chicken,gizzard]"
Fesenjān,"[pomegranate juice,poultry,chicken,walnuts]"
Pomegranate soup,"[pomegranate juice,split pea,spices,mentha]"
Phoenicia dessert,"[orange juice,honey,almond meal]"
Finikia,"[orange juice,honey,almond meal]"
Sekba,"[garlic,pork,soy sauce]"
Swiss Wing,"[garlic,black pepper,soy sauce,chicken,onions,star anise,ginger,sugar]"
Spaghetti aglio e olio,"[garlic,olive oil,spaghetti]"
Ta-a noodles,"[garlic,dried shrimp,coriander]"
Santula,"[garlic,potatoes,onions,okra,pumpkin,brinjal,green chile]"
Salmorejo,"[garlic,salt,tomato sauce,brown bread]"
Thuringian sausage,"[garlic,marjoram,caraway]"
Sujuk,"[garlic,salt,cumin,ground meat,capsicum annuum,sumac]"
Tzatziki,"[garlic,salt,olive oil,strained yogurt,lemon juice,mentha,dill,parsley,sea cucumber]"
XO sauce,"[garlic,chili peppers,dried shrimp,jinhua ham,canola oil,dried scallop]"
Spaghetti alla puttanesca,"[garlic,caper,anchovy,tomato sauce,olives,spaghetti]"
Sambal,"[garlic,shrimp paste,chili peppers]"
Tahu goreng,"[garlic,soy sauce,tofu,sea cucumber]"
Zhug,"[garlic,bell peppers,coriander]"
Ikan bakar,"[garlic,fish,grilled,shallots]"
Neapolitan sauce,"[garlic,herbs,tomato sauce,onions]"
Fromage fort,"[garlic,herbs,distilled beverage,white wine,cheddar cheese]"
Chicken 65,"[garlic,chicken,chili peppers,ginger]"
Préfou,"[garlic,brown bread,peanut butter]"
Glasswort salad,"[garlic,olive oil,glasswort,fruit juice,lemon]"
Matbucha,"[garlic,tomato sauce,chili peppers,bell peppers]"
Chicken tikka masala,"[garlic,tomato sauce,chicken,yogurt,onions,coconut milk,heavy cream,chili peppers,ginger]"
Boat noodles,"[garlic,salt,paprika,cinnamon,bean sprouts,dark soy sauce,radish,parsley,morning glory,pickled bean curd]"
Khao poon,"[garlic,fish,pork,chicken,shallots,galangal,fish sauce,rice vermicelli]"
Ajika,"[garlic,salt,herbs,spices,walnuts,capsicum annuum]"
Batata harra,"[garlic,olive oil,potatoes,capsicum annuum,chili peppers,coriander]"
Miruhulee boava,"[garlic,octopus,onions,cloves,coconut milk,curry leaves]"
Khuushuur,"[garlic,lamb and mutton,meats,onions]"
Aligot,"[garlic,mashed potato,peanut butter,cheddar cheese,heavy cream]"
Almogrote,"[garlic,olive oil,capsicum annuum,cheddar cheese]"
Phanaeng curry,"[garlic,salt,cumin,kaffir lime,peanut oil,shallots,shrimp paste,chili peppers,galangal,lemon grass,coriander]"
Chicken Chettinad,"[garlic,tomato sauce,chicken,yogurt,onions,coconut milk,heavy cream,chili peppers,kalpasi,ginger]"
Buridda,"[garlic,fish,broth,tomato sauce,onions]"
Bubur pedas,"[garlic,potatoes,meats,shallots,onions,bamboo shoot,mushrooms,carrots,bean curd,dried shrimp,leafy greens,galangal,lemon grass,long beans,turmeric powder,ginger]"
Paya (food),"[garlic,spices,tomato sauce,onions,water buffalo,curry powder,goat]"
Lobio,"[garlic,onions,beans,walnuts,coriander]"
Chicken Picasso,"[garlic,pasta,chicken,onions,peanut butter,heavy cream,mozzarella,bell peppers,tomatoes]"
Coq au vin,"[garlic,wine,edible mushroom,chicken,lardon]"
Pissaladière,"[garlic,anchovy,onions,olives,pissalat]"
Pieds paquets,"[garlic,tripe,tomato sauce,salt pork,white wine]"
Beer cheese (spread),"[garlic,spices,horseradish tree,beer,cheddar cheese,cayenne pepper,processed cheese]"
Lobster stew,"[garlic,tomato sauce,onions,lobster,soffritto]"
Malu Mirisata,"[garlic,fish,onions,chili peppers,turmeric powder,ginger]"
Chicken curry,"[garlic,cumin,spices,chicken,onions,chili peppers,garam masala,ginger,coriander]"
Nem Nướng̣,"[garlic,shallots,fish sauce,ground pork]"
Garlic bread,"[garlic,olive oil,peanut butter,baguette]"
Ayam bakar,"[garlic,chicken,grilled,shallots]"
Morcón,"[garlic,salt,pork,paprika]"
Mohinga,"[garlic,onions,ngapi,chickpea flour,lemon grass,fish sauce,catfish,ginger]"
Ikan goreng,"[garlic,fish,shallots,deep fried,coconut milk]"
Andrajos,"[garlic,cod,rabbit,tomato sauce,onions,capsicum annuum]"
Moqueca,"[garlic,fish,tomato sauce,onions,coconut milk,cilantro,seafood]"
Brenebon,"[garlic,scallions,pig's trotters,shallots,kidney bean,cow's trotters]"
Lyutika,"[garlic,vegetable oil,tomato sauce,onions,capsicum annuum]"
Phat phrik khing,"[garlic,chili peppers,galangal,lemon grass]"
Alu Potala Rasa,"[garlic,potatoes,cumin,trichosanthes dioica,onions,coconut milk,turmeric powder,ginger]"
Mie ayam,"[garlic,scallions,soy sauce,chicken,cooking oil,chinese cabbage,noodles]"
General Tso's chicken,"[garlic,batter (cooking),rice vinegar,scallions,soy sauce,chicken,sesame oil,chili peppers,huangjiu,sherry,ginger,sugar]"
Andouille,"[garlic,pork,wine,tripe,black pepper,onions]"
Rendang,"[garlic,lamb and mutton,meats,shallots,chillies,coconut milk,galangal,cymbopogon,goat,turmeric powder,ginger]"
Pesto,"[garlic,oil,pine nuts,hard cheese,basil]"
Crab in oyster sauce,"[garlic,scallions,oyster sauce,crab,ginger]"
Crab in Padang sauce,"[garlic,scallions,shallots,crab,candlenut,turmeric powder,ginger]"
Arrabbiata sauce,"[garlic,olive oil,tomato sauce,chili peppers]"
Bagna càuda,"[garlic,olive oil,anchovy,peanut butter]"
Bicol Express,"[garlic,pork,fish stock,onions,coconut milk,shrimp paste,chili peppers]"
Pappa al pomodoro,"[garlic,olive oil,tomato sauce,brown bread,basil]"
Ranch dressing,"[garlic,herbs,onions,buttermilk]"
Khoya paneer,"[garlic,khoa,tomato sauce,paneer,onions,ginger]"
Kabkabou,"[garlic,olive oil,cumin,caper,harissa,onions,saffron,tomato paste]"
Ayam masak merah,"[garlic,chicken,onions,tomato puree,chillies,ginger]"
Crab Rangoon,"[garlic,cream cheese,wonton,welsh onion,crab meat,crab stick]"
Ayam goreng,"[garlic,chicken,shallots,deep fried,coconut milk,turmeric powder]"
Istrian stew,"[garlic,potatoes,spare ribs,beans,sauerkraut,bacon]"
Carciofi alla Romana,"[garlic,parsley,lesser calamint]"
Marinara sauce,"[garlic,tomato sauce,onions,basil]"
Romesco,"[garlic,nut (fruit),bell peppers]"
Gazpacho,"[garlic,tomato sauce,sea cucumber]"
Pistou,"[garlic,olive oil,basil]"
Bak kut teh,"[garlic,cinnamon,broth,fennel,angelica sinensis,pork ribs,cloves,star anise]"
Ostropel,"[garlic,lamb and mutton,tomato sauce,chicken,meats,spring onions]"
Fischbrötchen,"[remoulade,fish,onions,brown bread,pickled cucumber]"
Sicilian orange salad,"[salt,olive oil,black pepper,orange (fruit)]"
Skilpadjies,"[salt,worcestershire sauce,caul fat,coriander]"
Umai (food),"[salt,pomfret,fish,lime juice,onions,chillies]"
Urnebes,"[salt,spices,cheddar cheese,chili peppers]"
Jhalmuri,"[salt,oil,tomato sauce,lemon,chanachur,onions,puffed rice,chili peppers]"
Milcao,"[salt,vegetable oil,lard,potatoes of chiloé]"
Obwarzanek krakowski,"[salt,fat,baker's yeast,whole wheat flour,sugar]"
Kluai buat chi,"[salt,saba banana,coconut milk,sugar]"
Oscypek,"[salt,sheep milk,smoked cheese]"
Rillettes,"[salt,fat,pork,rabbit,chicken,duck,game bird,goose]"
Red curry,"[salt,cumin,curry,kaffir lime,shallots,peppercorn,coconut milk,shrimp paste,chili peppers,galangal,lemon grass,coriander]"
Colaz,"[salt,leavening agent,cinnamon,vanillin,cloves,peanut butter,whole wheat flour,sugar]"
Muhammara,"[salt,olive oil,cumin,lemon juice,walnuts,pomegranate molasses,chili peppers,bread crumbs]"
Obatzda,"[salt,paprika,black pepper,peanut butter,beer,camembert (cheese)]"
Mămăligă,"[salt,boiling water,corn meal]"
Mämmi,"[salt,molasses,seville orange,malted,rye]"
Gravlax,"[salt,dill,salmon,sugar]"
Butter tea,"[salt,tea,yak butter]"
Pitepalt,"[salt,potatoes,barley flour,wheat]"
Caprese salad,"[salt,olive oil,tomato sauce,mozzarella,basil]"
Mitmita,"[salt,cloves,piri piri,cardamom]"
Borodinsky bread,"[salt,baker's yeast,treacle,molasses,caraway,barley malt syrup,coriander]"
Lahpet,"[salt,oil,tea leaves]"
Vodka sauce,"[herbs,tomato sauce,heavy cream,vodka]"
Bouillabaisse,"[herbs,fish,spices,european conger,sea robin,scorpionfish]"
Paila marina,"[herbs,fish,spices,shellfish,seafood]"
Coronation chicken,"[herbs,spices,chicken,mayonnaise]"
Chicken Kiev,"[herbs,chicken,bread crumbs]"
Curry,"[herbs,spices,black pepper,chili peppers]"
Briouat,"[herbs,lamb and mutton,spices,black pepper,chicken,lemon,cheddar cheese]"
Duqqa,"[herbs,nut (fruit),spices]"
Cobbler (food),"[biscuit (bread),batter (cooking),pie crust]"
Sauce vierge,"[olive oil,tomato sauce,lemon,basil]"
Serbian salad,"[olive oil,tomato sauce,onions,sea cucumber]"
Tapenade,"[olive oil,caper,anchovy,olives]"
Amatriciana sauce,"[olive oil,pecorino romano,guanciale,tomato sauce]"
Bagnun,"[olive oil,anchovy,tomato sauce,onions,brown bread]"
Melomakarono,"[olive oil,honey,semolina]"
Grant loaf,"[olive oil,baker's yeast,brown sugar]"
Musakhan,"[olive oil,onions,taboon bread,sumac]"
Pasta al pomodoro,"[olive oil,pasta,tomato sauce,basil]"
Pestiños,"[olive oil,honey,dough,sesame oil,sugar]"
Chilean salad,"[olive oil,tomato sauce,onions,coriander]"
Neapolitan ragù,"[olive oil,tomato sauce,meats,celery,lard,red wine,soffritto,carrots,basil]"
Takoyaki,"[octopus,batter (cooking),welsh onion,tempura,beni shoga]"
Pasembur,"[octopus,potatoes,turnip,bean sprouts,crab,bean curd,sea cucumber,seafood]"
Solomon Gundy,"[mackerel,smoked fish,chili peppers,shad]"
Chikuzenni,"[dashi,chicken,shiitake,carrots,snap pea,lotus root,burdock]"
Nimono,"[dashi,soy sauce,mirin,sake]"
Upside-down cake,"[batter (cooking),pineapple,fruit,cherry]"
Flaugnarde,"[batter (cooking),peach,plums,prunes,apple,powdered sugar,pear]"
Monte Cristo sandwich,"[batter (cooking),gruyère (cheese),brown bread,cheddar cheese,ham (meat)]"
Cider doughnut,"[batter (cooking),cinnamon,nutmeg,apple cider]"
Mozzarella sticks,"[batter (cooking),bread crumbs,mozzarella]"
Fried Coke,"[batter (cooking),coca-cola,cinnamon sugar,whipped cream,cherry]"
Fritule,"[batter (cooking),citrus zest,powdered sugar,rum,raisins]"
Onion ring,"[batter (cooking),onions,bread crumbs]"
Kulajda,"[potatoes,quail,dill,sour cream,mushrooms]"
Leek soup,"[potatoes,broth,leek,heavy cream]"
Lyonnaise potatoes,"[potatoes,onions,peanut butter,parsley]"
Toobs,"[potatoes,wheat,tomato sauce]"
Coddle,"[potatoes,onions,bacon]"
Mizuame,"[potatoes,sweet potato,glutinous rice flour]"
Papas chorreadas,"[potatoes,tomato sauce,onions,cheddar cheese,heavy cream]"
Gaisburger Marsch,"[potatoes,broth,meats,spätzle]"
Xogoi Momo,"[potatoes,ground meat,bread crumbs]"
Lancashire hotpot,"[potatoes,lamb and mutton,onions]"
Home fries,"[potatoes,vegetable oil,peanut butter]"
Hachis Parmentier,"[potatoes,sauce lyonnaise,meats]"
Aloo gobi,"[potatoes,cauliflower,list of indian spices]"
Steckrübeneintopf,"[potatoes,meats,sausage,carrots,rutabaga]"
Hutspot,"[potatoes,onions,carrots]"
Hapanvelli,"[potatoes,pea,rye]"
Janssons frestelse,"[potatoes,sprat,onions,heavy cream,bread crumbs]"
Cholent,"[potatoes,meats,beans,barley]"
Bengal potatoes,"[potatoes,curry,spices,capsicum annuum]"
Catfish stew,"[potatoes,tomato sauce,onions,catfish,tabasco sauce,hot sauce]"
Tuna pot,"[potatoes,tomato sauce,onions,tuna,pimiento]"
Rumford's Soup,"[potatoes,pea,pearl barley,beer]"
Massaman curry,"[potatoes,cinnamon,chicken,meats,peanut oil,onions,star anise,coconut milk,duck,chili peppers,tofu,palm sugar,fish sauce,cashew nut,tamarind,bay leaf,cardamom]"
Öçpoçmaq,"[potatoes,dough,meats,onions]"
Italian hot dog,"[potatoes,pizza,onions,hot dog,bread roll,bell peppers]"
Rössypottu,"[potatoes,pork,spices,beer,blood as food,rye]"
Cawl,"[potatoes,meats,carrots,rutabaga]"
Mykyrokka,"[potatoes,dumpling,meats,onions,barley,offal]"
Funeral potatoes,"[potatoes,corn flakes,parmesan cheese,miso soup,onions,hash browns,peanut butter,cheddar cheese,sour cream,potato chip]"
Chakapuli,"[potatoes,lamb and mutton,veal,white wine,tarragon,cherry plum]"
Pâté aux pommes de terre,"[potatoes,puff pastry,crème fraîche]"
Irish stew,"[potatoes,lamb and mutton,onions,parsley,carrots]"
Vinegret,"[potatoes,onions,pickled cucumber,sauerkraut,carrots,beet]"
Kartoffelkäse,"[potatoes,onions,sour cream,heavy cream,parsley,caraway]"
Suaasat,"[potatoes,meats,onions,reindeer,whale meat]"
Homity pie,"[potatoes,onions,leek,cheddar cheese]"
Maconochie,"[potatoes,turnip,carrots]"
Tartiflette,"[potatoes,onions,lardon,reblochon]"
Aloo paratha,"[potatoes,maida flour,atta flour,ghee,peanut butter]"
Kroppkaka,"[potatoes,pork,onions,bacon]"
Poutine râpée,"[potatoes,pork,mashed potato]"
Fish tea,"[potatoes,cassava,coconut milk,pumpkin,yam (vegetable)]"
Krupnik (soup),"[potatoes,broth,barley]"
Palóc soup,"[potatoes,green bean,lard,parsley,carrots]"
Rappie pie,"[potatoes,pork,broth,meats,onions,seafood]"
Pyttipanna,"[potatoes,onions,ground meat]"
Pav bhaji,"[potatoes,tomato sauce,onions,brown bread]"
Lohikeitto,"[potatoes,leek,salmon]"
Mirchi Bada,"[potatoes,gram flour,chili peppers]"
Sklandrausis,"[potatoes,caraway,rye,carrots]"
Jeera aloo,"[potatoes,list of indian spices,cumin]"
Keema,"[potatoes,pea,meats]"
Fondant potatoes,"[potatoes,peanut butter,stock]"
"Birnen, Bohnen und Speck","[potatoes,beans,pear,bacon]"
Dabeli,"[potatoes,burger bun,spice mix]"
Ragda pattice,"[potatoes,lathyrus aphaca,spices]"
Curry puff,"[potatoes,curry,chicken]"
Curanto,"[potatoes,meats,shellfish]"
Kol böreği,"[potatoes,lamb and mutton,spinach,beyaz peynir,phyllo,ground meat]"
Butter pie,"[potatoes,onions,peanut butter]"
Bouneschlupp,"[potatoes,green bean,onions,bacon]"
Pira caldo,"[fat,fish,tomato sauce,onions,bell peppers]"
Akutaq,"[fat,fish,sweetener,meats]"
Indian ice cream (Alaska),"[fat,fish,meats,berry]"
Buttercream,"[fat,margarine,powdered sugar,lard]"
Germknödel,"[fat,baker's yeast,poppy seed,jam,sugar]"
Hoosh,"[fat,pemmican,cereal germ]"
Tom khlong,"[fish,kaffir lime,chili peppers,galangal,lemon grass,tamarind]"
Smørrebrød,"[fish,meats,peanut butter,cheddar cheese,spread,rugbrød,cold cuts]"
Yong Tau Foo,"[fish,pork,tofu]"
Smoked meat,"[fish,meats,brown bread]"
Lemper,"[fish,chicken,glutinous rice flour,meat floss]"
Dahi machha,"[fish,spices,yogurt]"
Cacciucco,"[fish,broth,shellfish]"
Bermuda fish chowder,"[fish,tomato purée,stock]"
Cioppino,"[fish,wine,tomato sauce,squid,dried shrimp,scallop,seafood,clam,mussel]"
Carpaccio,"[fish,meats,veal,salmon,tuna,venison]"
Canh chua,"[fish,pineapple,tomato sauce,bean sprouts,tamarind]"
Ceviche,"[fish,chili peppers,key lime]"
Amok trey,"[fish,kroeung,coconut milk]"
Balchão,"[fish,pork,prawns]"
Caldo de siete mares,"[fish,tomato sauce,chicken,seafood]"
Lekvar,"[peach,plums,prunes,strawberry jam,fruit,sour cherry,raspberry,cherry]"
Persipan,"[peach,apricot jam,sugar]"
Peach Melba,"[peach,vanilla,raspberry]"
Cock-a-leekie soup,"[prunes,chicken,leek]"
Compound chocolate,"[sweetener,cocoa solids,vegetable fats and oils]"
Sopa de pata,"[cassava,tripe,green bean,saba banana,chayote,sweet corn]"
Llapingacho,"[cassava,mashed potato,cheddar cheese]"
Chè bà ba,"[cassava,sweet potato,tapioca,coconut milk,taro]"
Gethuk,"[cassava,coconut milk,sugar]"
Bánh khoai mì,"[cassava,coconut milk,sugar]"
Flummadiddle,"[stale bread,pork,spices,molasses,cloves,allspice]"
White hot,"[pork,onions,mustard (condiment),hot sauce]"
Bánh chưng,"[pork,glutinous rice flour,mung bean]"
Hae mee,"[pork,fish cake,prawns,spring onions,shallots,bean sprouts,stock,chinese noodles]"
Babi kecap,"[pork,shallots,kecap manis]"
Liver soup,"[pork,soy sauce,ginger]"
Fasole cu cârnați,"[pork,tomato sauce,beans]"
Cretons,"[pork,spices,onions]"
Kaszanka,"[pork,black pepper,onions,kasha,marjoram,blood,offal]"
Pork pie,"[pork,hot water crust pastry,pork jelly]"
Kubdari,"[pork,lamb and mutton,spices,onions,brown bread,goat meat]"
Bolognese sauce,"[pork,wine,veal,onions,ground meat,celery,olives,tomato paste,carrots]"
Char siu,"[pork,honey,soy sauce,hoisin sauce,five-spice powder,huangjiu,sherry,pickled tofu]"
Okinawa soba,"[pork,broth,katsuobushi,noodles]"
Cuban sandwich,"[pork,ham,pickled cucumber,mustard (condiment),salami,swiss cheese,cuban bread]"
Alambre,"[pork,meats,onions,cheddar cheese,bell peppers]"
Hot wiener,"[pork,veal,onions,brown bread,mustard (condiment),celery salt]"
Medianoche,"[pork,ham,pickled cucumber,mustard (condiment),swiss cheese]"
Kimchi jjigae,"[pork,scallions,onions,kimchi,tofu,seafood]"
Italian sausage,"[pork,fennel,anise seed]"
Francesinha,"[chipolata,linguiça,tomato sauce,brown bread,ham,beer,cheddar cheese]"
Francesinha poveira,"[linguiça,fiambre,brown bread,cheddar cheese,mustard (condiment)]"
Rugelach,"[fruit preserves,cream cheese,cinnamon,poppy seed,walnuts,raisins,marzipan,sour cream,white chocolate]"
Sufganiyah,"[fruit preserves,custard,powdered sugar]"
Rupjmaizes kārtojums,"[fruit preserves,jam,whipped cream,bread crumbs]"
Fool's Gold Loaf,"[fruit preserves,peanut butter,bacon]"
Gâteau Basque,"[fruit preserves,almond flour,pastry cream]"
Sohan Asali,"[honey,nut (fruit),saffron,almond meal,sugar]"
Tandoori chicken,"[honey,chicken,yogurt,tandoori masala]"
Sesame seed candy,"[honey,sesame oil,sugar]"
Suksilgwa,"[honey,nut (fruit),fruit,yeot,ginger]"
Yakgwa,"[honey,sesame oil,whole wheat flour]"
Florentine biscuit,"[honey,nut (fruit),peanut butter,candied fruit,sugar]"
Asida,"[honey,peanut butter,whole wheat flour]"
Mandugwa,"[honey,cinnamon,dough,jocheong,sesame oil,jujube,sugar]"
Chancaca,"[honey,zest (ingredient),sugar]"
Pain d'épices,"[honey,spices,rye (grain)]"
Flapjack (oat bar),"[honey,golden syrup,rolled oats,brown sugar,peanut butter]"
Magenbrot,"[honey,cinnamon,nutmeg,cloves,star anise,cocoa solids,sugar]"
Gingerbread,"[honey,ginger root,molasses]"
Hotteok,"[honey,cinnamon,brown sugar,peanut oil,whole wheat flour]"
Honey dill,"[honey,dill,mayonnaise]"
Honey bun,"[honey,baker's yeast,cinnamon]"
Candy pumpkin,"[honey,corn syrup,sugar]"
Nobó,"[honey,avocado,coconut milk]"
Jeonggwa,"[honey,yeot,sugar]"
Lebkuchen,"[honey,hazelnut,spices,cloves,walnuts,candied fruit,almond meal,allspice,cardamom,ginger,coriander]"
Koliva,"[honey,wheat,sugar]"
Nunt,"[honey,walnuts,sugar]"
Placenta cake,"[honey,semolina,cheddar cheese,bay leaf]"
Panforte,"[honey,nut (fruit),spices,fruit,sugar]"
Red bean paste,"[honey,adzuki bean,sugar]"
Basler Läckerli,"[honey,hazelnut,candied peel,kirsch,almond meal]"
Cranachan,"[honey,whipped cream,goat meat,whisky,raspberry]"
Pan de Pascua,"[honey,walnuts,raisins,candied fruit,almond meal,ginger]"
Flaó,"[honey,cheddar cheese,sugar]"
Gangjeong,"[honey,glutinous rice flour,malt,cereal germ]"
Eton mess,"[strawberry jam,meringue,heavy cream]"
Kitchener bun,"[strawberry jam,heavy cream,raspberry]"
Banana split,"[strawberry jam,nut (fruit),pineapple,vanilla,saba banana,whipped cream,maraschino cherries,white chocolate]"
Bajadera,"[hazelnut,nougat,walnuts,almond meal]"
Panpepato,"[hazelnut,cinnamon,black pepper,nutmeg,zest (ingredient),pine nuts,almond meal,lime (fruit)]"
Gianduiotto,"[hazelnut,gianduja (chocolate),cocoa solids]"
Nudossi,"[hazelnut,cocoa solids,vegetable fats and oils,sugar]"
Azerbaijani pakhlava,"[hazelnut,juglans regia,crocus,dianthus caryophyllus,cardamom]"
Qatayef,"[hazelnut,cinnamon,powdered sugar,pistachios,walnuts,raisins,vanilla extract,almond meal]"
Senate bean soup,"[mashed potato,ham hock,navy bean]"
Savoury pattie,"[mashed potato,onions,salvia officinalis]"
Knish,"[mashed potato,onions,kasha,cheddar cheese,sauerkraut]"
Jam sandwich (food),"[sliced bread,margarine,jam,peanut butter]"
Ham and cheese sandwich,"[sliced bread,ham,cheddar cheese]"
"Peanut butter, banana and bacon sandwich","[sliced bread,peanut butter,saba banana,bacon]"
Tahini roll,"[tahini,cinnamon,dough,sugar]"
Frito pie,"[corn chip,cheddar cheese,chili con carne]"
Tavë kosi,"[lamb and mutton,yogurt,peanut butter,whole wheat flour]"
Tomato bredie,"[lamb and mutton,cinnamon,cloves,chile powder,cardamom,ginger]"
Steak and kidney pudding,"[lamb and mutton,steak,suet,pig]"
Burgoo,"[lamb and mutton,chicken,meats]"
Gheimeh,"[lamb and mutton,split pea,black lime,tomato sauce,onions]"
